"compare","date","id","participantRSA","related","session"
3,"Wed, 04 Apr 2018 13:26:34 -0500",1574,"1574",2,"SESSION8"
3,"Wed, 05 Apr 2017 14:49:29 -0500",1168,"1168",3,"SESSION1"
3,"Thu, 05 Apr 2018 15:37:21 -0500",1627,"1627",4,"SESSION1"
4,"Thu, 06 Apr 2017 10:46:41 -0500",1133,"1133",4,"SESSION6"
2,"Thu, 06 Apr 2017 21:05:26 -0500",1169,"1169",3,"SESSION1"
4,"Thu, 05 Apr 2018 23:46:01 -0500",1401,"1401",4,"SESSION8"
3,"Fri, 06 Apr 2018 14:12:52 -0500",1620,"1620",4,"SESSION3"
4,"Fri, 07 Apr 2017 09:02:52 -0500",1171,"1171",3,"SESSION1"
3,"Fri, 07 Apr 2017 15:49:32 -0500",1121,"1121",4,"SESSION8"
1,"Sun, 09 Apr 2017 19:02:06 -0500",1173,"1173",4,"SESSION1"
3,"Mon, 10 Apr 2017 11:41:22 -0500",1168,"1168",3,"SESSION3"
3,"Mon, 10 Apr 2017 18:08:44 -0500",1175,"1175",4,"SESSION1"
2,"Tue, 10 Apr 2018 13:20:19 -0500",1633,"1633",2,"SESSION1"
4,"Tue, 11 Apr 2017 08:17:45 -0500",1133,"1133",4,"SESSION8"
5,"Tue, 11 Apr 2017 16:20:10 -0500",1176,"1176",5,"SESSION1"
3,"Wed, 12 Apr 2017 16:01:36 -0500",1178,"1178",3,"SESSION1"
2,"Thu, 12 Apr 2018 14:32:03 -0500",1639,"1639",2,"SESSION1"
3,"Fri, 14 Apr 2017 09:53:49 -0500",1180,"1180",5,"SESSION1"
3,"Sat, 14 Apr 2018 00:19:28 -0500",1642,"1642",3,"SESSION1"
2,"Tue, 17 Apr 2018 18:25:16 -0500",1646,"1646",5,"SESSION1"
3,"Tue, 17 Apr 2018 22:17:01 -0500",1620,"1620",4,"SESSION6"
1,"Mon, 17 Apr 2017 23:04:21 -0500",1186,"1186",1,"SESSION1"
1,"Thu, 19 Apr 2018 22:47:23 -0500",1651,"1651",1,"SESSION1"
2,"Thu, 20 Apr 2017 09:20:20 -0500",1190,"1190",4,"SESSION1"
2,"Fri, 20 Apr 2018 16:04:23 -0500",1601,"1601",4,"SESSION6"
5,"Fri, 21 Apr 2017 10:28:51 -0500",1184,"1184",2,"SESSION1"
3,"Mon, 23 Apr 2018 05:53:49 -0500",1654,"1654",4,"SESSION1"
4,"Mon, 23 Apr 2018 17:22:04 -0500",1657,"1657",5,"SESSION1"
3,"Tue, 25 Apr 2017 19:52:08 -0500",1169,"1169",4,"SESSION3"
2,"Tue, 24 Apr 2018 23:06:20 -0500",1658,"1658",3,"SESSION1"
3,"Wed, 25 Apr 2018 23:37:43 -0500",1620,"1620",4,"SESSION8"
2,"Fri, 27 Apr 2018 02:13:30 -0500",1660,"1660",4,"SESSION1"
3,"Sat, 28 Apr 2018 05:59:36 -0500",1654,"1654",4,"SESSION3"
5,"Mon, 30 Apr 2018 14:59:38 -0500",1662,"1662",4,"SESSION1"
2,"Tue, 01 Aug 2017 12:10:38 -0500",1303,"1303",4,"SESSION1"
2,"Wed, 02 Aug 2017 07:55:36 -0500",1267,"1267",3,"SESSION3"
3,"Wed, 02 Aug 2017 12:42:22 -0500",1311,"1311",3,"SESSION1"
2,"Wed, 02 Aug 2017 18:49:51 -0500",1273,"1273",4,"SESSION1"
4,"Wed, 03 Aug 2016 19:55:53 -0500",523,"523",3,"SESSION3"
4,"Thu, 03 Aug 2017 03:47:53 -0500",1265,"1265",4,"SESSION3"
2,"Sun, 06 Aug 2017 16:26:03 -0500",1292,"1292",2,"SESSION3"
3,"Sun, 06 Aug 2017 22:34:21 -0500",1269,"1269",3,"SESSION1"
4,"Mon, 06 Aug 2018 01:41:46 -0500",1737,"1737",3,"SESSION3"
2,"Mon, 08 Aug 2016 00:06:45 -0500",539,"539",1,"SESSION1"
4,"Mon, 08 Aug 2016 20:43:40 -0500",531,"531",3,"SESSION3"
3,"Tue, 08 Aug 2017 06:54:59 -0500",1311,"1311",3,"SESSION3"
1,"Thu, 11 Aug 2016 16:15:11 -0500",508,"508",4,"SESSION1"
3,"Fri, 11 Aug 2017 14:43:31 -0500",1290,"1290",4,"SESSION3"
3,"Fri, 11 Aug 2017 18:34:48 -0500",1303,"1303",5,"SESSION3"
4,"Sat, 11 Aug 2018 12:10:15 -0500",1751,"1751",4,"SESSION1"
4,"Sat, 11 Aug 2018 15:07:55 -0500",1290,"1290",3,"SESSION8"
1,"Fri, 12 Aug 2016 01:59:05 -0500",541,"541",2,"SESSION1"
3,"Fri, 12 Aug 2016 12:46:50 -0500",532,"532",4,"SESSION3"
3,"Sun, 12 Aug 2018 07:24:32 -0500",1697,"1697",4,"SESSION1"
4,"Sun, 12 Aug 2018 22:06:17 -0500",1721,"1721",4,"SESSION6"
2,"Sun, 12 Aug 2018 22:34:07 -0500",1748,"1748",3,"SESSION1"
3,"Sat, 13 Aug 2016 19:57:46 -0500",546,"546",2,"SESSION1"
2,"Sat, 13 Aug 2016 20:56:34 -0500",539,"539",2,"SESSION3"
4,"Sun, 14 Aug 2016 19:54:52 -0500",547,"547",3,"SESSION1"
3,"Wed, 15 Aug 2018 01:48:17 -0500",1737,"1737",3,"SESSION6"
2,"Tue, 15 Aug 2017 23:11:31 -0500",1040,"1040",3,"SESSION1"
4,"Thu, 16 Aug 2018 10:23:15 -0500",1697,"1697",5,"SESSION3"
4,"Wed, 17 Aug 2016 09:51:33 -0500",549,"549",4,"SESSION1"
2,"Fri, 17 Aug 2018 12:00:23 -0500",1758,"1758",3,"SESSION1"
2,"Thu, 18 Aug 2016 19:47:07 -0500",541,"541",3,"SESSION3"
2,"Sat, 20 Aug 2016 14:29:40 -0500",539,"539",2,"SESSION6"
4,"Mon, 20 Aug 2018 15:46:20 -0500",1754,"1754",4,"SESSION1"
5,"Mon, 20 Aug 2018 19:23:03 -0500",1759,"1759",4,"SESSION1"
3,"Tue, 21 Aug 2018 13:43:59 -0500",1761,"1761",3,"SESSION1"
5,"Mon, 22 Aug 2016 12:40:46 -0500",532,"532",4,"SESSION6"
4,"Tue, 23 Aug 2016 11:15:30 -0500",552,"552",4,"SESSION1"
3,"Tue, 23 Aug 2016 20:26:28 -0500",557,"557",4,"SESSION1"
3,"Wed, 23 Aug 2017 13:27:13 -0500",1328,"1328",4,"SESSION1"
2,"Wed, 23 Aug 2017 20:09:41 -0500",1292,"1292",2,"SESSION6"
3,"Thu, 23 Aug 2018 15:52:33 -0500",1766,"1766",4,"SESSION1"
3,"Thu, 23 Aug 2018 21:29:50 -0500",1765,"1765",3,"SESSION1"
3,"Wed, 24 Aug 2016 01:24:14 -0500",562,"562",3,"SESSION1"
3,"Wed, 24 Aug 2016 02:41:35 -0500",564,"564",4,"SESSION1"
2,"Wed, 24 Aug 2016 12:46:02 -0500",569,"569",3,"SESSION1"
1,"Wed, 24 Aug 2016 13:47:54 -0500",539,"539",1,"SESSION8"
2,"Wed, 24 Aug 2016 13:58:18 -0500",579,"579",3,"SESSION1"
4,"Wed, 24 Aug 2016 17:49:04 -0500",561,"561",3,"SESSION1"
3,"Wed, 24 Aug 2016 20:15:28 -0500",570,"570",4,"SESSION1"
3,"Wed, 24 Aug 2016 23:28:26 -0500",574,"574",2,"SESSION1"
3,"Thu, 25 Aug 2016 08:59:06 -0500",582,"582",4,"SESSION1"
2,"Thu, 25 Aug 2016 11:59:21 -0500",580,"580",4,"SESSION1"
2,"Fri, 26 Aug 2016 02:35:52 -0500",594,"594",3,"SESSION1"
5,"Fri, 26 Aug 2016 13:40:17 -0500",532,"532",5,"SESSION8"
3,"Sun, 26 Aug 2018 21:10:30 -0500",1770,"1770",4,"SESSION1"
2,"Sat, 27 Aug 2016 15:28:17 -0500",597,"597",4,"SESSION1"
2,"Sat, 27 Aug 2016 21:55:26 -0500",584,"584",3,"SESSION1"
3,"Mon, 27 Aug 2018 13:49:12 -0500",1771,"1771",4,"SESSION1"
4,"Mon, 27 Aug 2018 14:25:25 -0500",1754,"1754",3,"SESSION3"
3,"Mon, 28 Aug 2017 09:07:04 -0500",1332,"1332",4,"SESSION1"
4,"Mon, 28 Aug 2017 12:30:33 -0500",1273,"1273",4,"SESSION3"
3,"Tue, 28 Aug 2018 04:03:56 -0500",1772,"1772",3,"SESSION1"
3,"Tue, 29 Aug 2017 12:36:39 -0500",1327,"1327",3,"SESSION1"
3,"Wed, 29 Aug 2018 09:21:52 -0500",1777,"1777",5,"SESSION1"
2,"Tue, 30 Aug 2016 09:32:47 -0500",531,"531",3,"SESSION6"
2,"Wed, 30 Aug 2017 15:57:23 -0500",1292,"1292",2,"SESSION8"
3,"Wed, 30 Aug 2017 16:37:08 -0500",1333,"1333",2,"SESSION1"
3,"Thu, 30 Aug 2018 12:33:35 -0500",1782,"1782",2,"SESSION1"
2,"Wed, 31 Aug 2016 14:15:40 -0500",582,"582",4,"SESSION3"
2,"Fri, 31 Aug 2018 19:37:15 -0500",1792,"1792",3,"SESSION1"
4,"Fri, 31 Aug 2018 21:22:38 -0500",1799,"1799",5,"SESSION1"
3,"Sat, 02 Dec 2017 10:07:49 -0500",1411,"1411",2,"SESSION3"
2,"Sat, 03 Dec 2016 17:31:01 -0500",982,"982",2,"SESSION6"
3,"Sat, 03 Dec 2016 20:48:19 -0500",1009,"1009",3,"SESSION3"
3,"Sun, 03 Dec 2017 18:41:19 -0500",1428,"1428",3,"SESSION3"
1,"Sun, 04 Dec 2016 18:15:59 -0500",1041,"1041",1,"SESSION1"
4,"Sun, 04 Dec 2016 18:29:52 -0500",978,"978",3,"SESSION3"
3,"Sun, 04 Dec 2016 19:10:00 -0500",817,"817",3,"SESSION8"
4,"Sun, 04 Dec 2016 21:36:56 -0500",997,"997",4,"SESSION8"
4,"Mon, 04 Dec 2017 08:41:51 -0500",1401,"1401",4,"SESSION6"
4,"Tue, 05 Dec 2017 22:40:24 -0500",1444,"1444",4,"SESSION1"
3,"Wed, 05 Dec 2018 03:14:18 -0500",1938,"1938",3,"SESSION1"
3,"Wed, 05 Dec 2018 15:09:34 -0500",1932,"1932",4,"SESSION3"
3,"Tue, 06 Dec 2016 22:05:46 -0500",1044,"1044",4,"SESSION1"
2,"Wed, 07 Dec 2016 17:59:48 -0500",989,"989",3,"SESSION6"
5,"Sat, 08 Dec 2018 15:50:52 -0500",1942,"1942",4,"SESSION1"
2,"Fri, 09 Dec 2016 09:47:20 -0500",1045,"1045",4,"SESSION1"
3,"Sat, 10 Dec 2016 15:16:43 -0500",1046,"1046",4,"SESSION1"
3,"Tue, 11 Dec 2018 14:19:23 -0500",1947,"1947",4,"SESSION1"
4,"Mon, 12 Dec 2016 22:20:01 -0500",985,"985",4,"SESSION6"
3,"Tue, 13 Dec 2016 03:03:40 -0500",723,"723",4,"SESSION8"
5,"Wed, 13 Dec 2017 17:10:09 -0500",1376,"1376",5,"SESSION6"
2,"Thu, 15 Dec 2016 17:58:39 -0500",989,"989",3,"SESSION8"
2,"Fri, 15 Dec 2017 10:55:51 -0500",1428,"1428",3,"SESSION6"
3,"Mon, 17 Dec 2018 15:39:59 -0500",1932,"1932",4,"SESSION6"
4,"Sun, 18 Dec 2016 16:31:56 -0500",1051,"1051",5,"SESSION1"
3,"Mon, 19 Dec 2016 08:20:11 -0500",1013,"1013",4,"SESSION3"
3,"Mon, 19 Dec 2016 10:38:40 -0500",1052,"1052",4,"SESSION1"
3,"Tue, 19 Dec 2017 09:34:10 -0500",1452,"1452",4,"SESSION1"
