birthYear,date,education,employmentStatus,ethnicity,gender,id,income,maritalStatus,participantRSA,participateReason,race,residenceCountry,session
NA,"Wed, 29 Jun 2016 17:00:23 -0500",,,,Female,484,,,484,,,United States,PRE
NA,"Thu, 20 Oct 2016 10:15:57 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,906,"$100,000 through $149,999",Divorced,906,Other,White/European origin,United States,PRE
1958,"Thu, 20 Oct 2016 11:24:27 -0500",Associate's Degree,Working part-time,Not Hispanic or Latino,Female,911,"$75,000 through $99,999",Married,911,Advertisement from other sources,White/European origin,United States,PRE
1961,"Fri, 19 Aug 2016 23:15:46 -0500",Bachelor's Degree,Retired,Not Hispanic or Latino,Female,550,"$75,000 through $99,999",Married,550,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1964,"Tue, 16 Aug 2016 21:27:04 -0500",Some College,Unemployed or laid off,Hispanic or Latino,Female,549,"$35,000 through $49,999",Married,549,Planned search for this topic in particular,White/European origin,United States,PRE
1970,"Sun, 29 Jan 2017 15:56:59 -0500",Some Graduate School,Working full-time,Not Hispanic or Latino,Female,1086,"$100,000 through $149,999",Married,1086,News story,White/European origin,United States,PRE
1972,"Wed, 31 Aug 2016 19:38:48 -0500",Some College,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,607,Prefer not to answer,Married,607,Other,Prefer not to answer,United States,PRE
1977,"Tue, 25 Oct 2016 15:54:24 -0500",J.D.,Working full-time,Prefer not to answer,Female,948,"$100,000 through $149,999",Married,948,Link from education site,Prefer not to answer,United States,PRE
1980,"Tue, 06 Sep 2016 17:00:55 -0500",M.B.A.,Working full-time,Not Hispanic or Latino,Male,615,"$100,000 through $149,999",Married,615,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1981,"Mon, 19 Sep 2016 21:11:39 -0500",Master's Degree,Working part-time,Not Hispanic or Latino,Female,740,"$75,000 through $99,999",Married,740,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1982,"Sun, 23 Oct 2016 20:33:38 -0500",Some Graduate School,Working full-time,Prefer not to answer,Male,937,"$75,000 through $99,999",Married,937,News story,Prefer not to answer,United States,PRE
1984,"Mon, 19 Sep 2016 20:36:07 -0500",Master's Degree,Looking for work,Prefer not to answer,Male,758,"$35,000 through $49,999",Separated,758,Facebook post,Prefer not to answer,United States,PRE
1986,"Sun, 28 Aug 2016 01:03:54 -0500",,,,Female,599,,,599,,,,PRE
1987,"Wed, 19 Oct 2016 22:51:04 -0500",Bachelor's Degree,Looking for work,Not Hispanic or Latino,Female,891,"$25,000 through $34,999","Single, but currently living with someone in a marriage-like relationship",891,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1989,"Thu, 22 Dec 2016 23:06:01 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,1055,"$35,000 through $49,999","Single, but casually dating",1055,News story,White/European origin,United States,PRE
1989,"Mon, 21 Nov 2016 20:30:40 -0500",Some College,Working full-time,Not Hispanic or Latino,Male,990,"$75,000 through $99,999","Single, but casually dating",990,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1989,"Wed, 19 Oct 2016 17:13:02 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,876,"$50,000 through $74,999",Married,876,News story,East Asian,United States,PRE
1990,"Wed, 19 Oct 2016 08:55:32 -0500",Some Graduate School,Working full-time,Prefer not to answer,Male,861,"$50,000 through $74,999","Single, but currently living with someone in a marriage-like relationship",861,"Recommendation of friend, family , acquaintance, or colleague",Prefer not to answer,United States,PRE
1992,"Sun, 20 Nov 2016 02:53:08 -0500",Prefer not to answer,Prefer not to answer,Not Hispanic or Latino,Female,1018,Prefer not to answer,Prefer not to answer,1018,Other,White/European origin,NoAnswer,PRE
1997,"Tue, 28 Feb 2017 15:04:34 -0500",Some College,Student,Not Hispanic or Latino,Male,1126,Don't know,Single,1126,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1900,"Mon, 19 Feb 2018 11:35:42 -0500",Some Graduate School,Prefer not to answer,Prefer not to answer,Prefer not to answer,1548,Prefer not to answer,Prefer not to answer,1548,Other,Prefer not to answer,United States,PRE
1900,"Sat, 24 Sep 2016 07:12:09 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,780,Prefer not to answer,Single,780,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1926,"Tue, 22 Aug 2017 08:22:18 -0500",High School Graduate,Retired,Not Hispanic or Latino,Female,1327,"$16,000 through $24,999",Widow/widower,1327,Just surfing the web,White/European origin,United States,PRE
1926,"Sun, 02 Jul 2017 18:28:01 -0500",Some High School,Retired,Not Hispanic or Latino,Female,1244,"$16,000 through $24,999",Widow/widower,1244,Planned search for information related to this topic,White/European origin,United States,PRE
1928,"Thu, 20 Oct 2016 09:55:10 -0500",Bachelor's Degree,Retired,Prefer not to answer,Male,904,"$35,000 through $49,999",Widow/widower,904,Link from education site,White/European origin,United States,PRE
1939,"Mon, 24 Oct 2016 19:14:34 -0500",Bachelor's Degree,Retired,Not Hispanic or Latino,Female,942,"$100,000 through $149,999",Prefer not to answer,942,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1940,"Tue, 23 May 2017 13:05:13 -0500",Ph.D.,Working part-time,Hispanic or Latino,Transgender,1204,"$100,000 through $149,999","Single, but currently engaged to be married",1204,"Recommendation of friend, family , acquaintance, or colleague",Other or Unknown,Australia,PRE
1941,"Fri, 21 Oct 2016 09:07:11 -0500",Some College,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,899,"$50,000 through $74,999",Married,899,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1942,"Sat, 12 May 2018 13:58:52 -0500",Ph.D.,Working part-time,Not Hispanic or Latino,Male,1678,Don't know,"Single, but currently living with someone in a marriage-like relationship",1678,Link from education site,White/European origin,United States,PRE
1942,"Thu, 13 Sep 2018 15:29:46 -0500",Master's Degree,Retired,Prefer not to answer,Male,1822,Prefer not to answer,Married,1822,Planned search for information related to this topic,Prefer not to answer,Canada,PRE
1942,"Fri, 16 Sep 2016 17:17:22 -0500",Master's Degree,Retired,Not Hispanic or Latino,Female,688,"$35,000 through $49,999",Married,688,Facebook post,White/European origin,United States,PRE
1943,"Mon, 05 Feb 2018 15:54:49 -0500",Some College,Retired,Not Hispanic or Latino,Female,1521,"$25,000 through $34,999",Other,1521,Advertisement from other sources,White/European origin,United States,PRE
1944,"Sun, 19 Jun 2016 11:54:47 -0500",Ph.D.,Retired,Not Hispanic or Latino,Female,453,Prefer not to answer,Married,453,Other,White/European origin,United States,PRE
1945,"Sun, 22 Apr 2018 17:53:30 -0500",Master's Degree,Retired,Not Hispanic or Latino,Female,1654,"$200,000 through $249,999",Divorced,1654,Link from education site,White/European origin,United States,PRE
1946,"Fri, 27 Oct 2017 11:23:06 -0500",Some Graduate School,Retired,Not Hispanic or Latino,Male,1401,"$150,000 through $199,999",Divorced,1401,Planned search for this topic in particular,White/European origin,United States,PRE
1947,"Tue, 23 Aug 2016 19:38:05 -0500",Some College,Working full-time,Not Hispanic or Latino,Male,557,"$75,000 through $99,999",Married,557,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1947,"Tue, 26 Dec 2017 09:06:33 -0500",Some College,Retired,Not Hispanic or Latino,Female,1462,"$35,000 through $49,999",Married,1462,Facebook post,White/European origin,United States,PRE
1947,"Sun, 04 Feb 2018 09:36:58 -0500",Master's Degree,Retired,Unknown,Female,1509,Prefer not to answer,Married,1509,Other,White/European origin,United States,PRE
1947,"Fri, 23 Sep 2016 10:55:10 -0500",Master's Degree,Retired,Not Hispanic or Latino,Female,779,"$35,000 through $49,999",Married,779,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1948,"Sun, 02 Sep 2018 10:39:13 -0500",Bachelor's Degree,Retired,Not Hispanic or Latino,Female,1801,Prefer not to answer,Married,1801,Link from education site,White/European origin,United States,PRE
1949,"Fri, 16 Sep 2016 19:10:31 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Male,695,"$25,000 through $34,999",Married,695,Just surfing the web,White/European origin,United States,PRE
1950,"Mon, 04 Jul 2016 08:47:21 -0500",Bachelor's Degree,Retired,Not Hispanic or Latino,Female,494,Don't know,Married,494,Just surfing the web,White/European origin,Netherlands,PRE
1950,"Thu, 16 Jun 2016 12:49:58 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,445,"$35,000 through $49,999",Married,445,Link from education site,White/European origin,United States,PRE
1950,"Thu, 10 May 2018 03:38:05 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,1672,"Less than $5,000",Divorced,1672,"Link from blog, chat, or discussion thread",East Asian,South Africa,PRE
1950,"Fri, 16 Sep 2016 14:02:46 -0500",Ph.D.,Retired,Not Hispanic or Latino,Female,683,"$100,000 through $149,999",Married,683,News story,White/European origin,United States,PRE
1950,"Mon, 26 Sep 2016 12:30:03 -0500",M.B.A.,Retired,Not Hispanic or Latino,Male,786,"$50,000 through $74,999",Married,786,News story,White/European origin,United States,PRE
1951,"Tue, 12 Jul 2016 17:10:10 -0500",Bachelor's Degree,Other,Not Hispanic or Latino,Female,510,"$12,000 through $15,999",Divorced,510,Other,White/European origin,United States,PRE
1951,"Thu, 10 Nov 2016 09:27:03 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,991,"$100,000 through $149,999",Married,991,Other,White/European origin,United States,PRE
1951,"Fri, 28 Oct 2016 13:49:04 -0500",Bachelor's Degree,Retired,Not Hispanic or Latino,Female,960,"$75,000 through $99,999",Married,960,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1951,"Fri, 16 Sep 2016 04:34:29 -0500",M.D.,Working part-time,Not Hispanic or Latino,Female,634,"$16,000 through $24,999",Single,634,News story,White/European origin,United States,PRE
1952,"Sat, 27 Aug 2016 14:27:00 -0500",Bachelor's Degree,Looking for work,Not Hispanic or Latino,Male,597,"$12,000 through $15,999",Single,597,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1952,"Fri, 24 Nov 2017 12:49:22 -0500",Bachelor's Degree,Unemployed or laid off,Not Hispanic or Latino,Female,1424,"$25,000 through $34,999",Divorced,1424,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1952,"Wed, 03 Oct 2018 12:03:34 -0500",Master's Degree,Retired,Not Hispanic or Latino,Female,1860,Prefer not to answer,Married,1860,News story,White/European origin,United States,PRE
1952,"Wed, 19 Oct 2016 09:45:53 -0500",Some College,Working part-time,Not Hispanic or Latino,Female,865,"$16,000 through $24,999",Married,865,News story,White/European origin,United States,PRE
1952,"Wed, 19 Oct 2016 18:27:30 -0500",Some Graduate School,Retired,Not Hispanic or Latino,Female,882,"$75,000 through $99,999",Married,882,News story,White/European origin,United States,PRE
1952,"Sun, 18 Sep 2016 13:39:10 -0500",Some Graduate School,Looking for work,Unknown,Female,730,Don't know,Divorced,730,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1953,"Tue, 01 Aug 2017 16:14:23 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1305,"$100,000 through $149,999",Married,1305,News story,White/European origin,United States,PRE
1953,"Wed, 26 Jul 2017 05:26:01 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1272,Prefer not to answer,In a domestic or civil union,1272,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1953,"Sun, 30 Oct 2016 15:12:54 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Male,967,"$150,000 through $199,999",Married,967,News story,White/European origin,United States,PRE
1953,"Fri, 16 Sep 2016 09:22:58 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,656,"$200,000 through $249,999",Married,656,Link from education site,White/European origin,United States,PRE
1954,"Wed, 02 Aug 2017 16:23:19 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1312,"$50,000 through $74,999",Divorced,1312,News story,White/European origin,United States,PRE
1954,"Wed, 24 Aug 2016 02:09:08 -0500",Associate's Degree,Retired,Prefer not to answer,Female,564,Prefer not to answer,Single,564,Just surfing the web,Prefer not to answer,United States,PRE
1954,"Wed, 19 Oct 2016 09:51:49 -0500",Associate's Degree,Working full-time,Not Hispanic or Latino,Female,866,"$100,000 through $149,999",Married,866,News story,White/European origin,United States,PRE
1954,"Wed, 19 Oct 2016 17:54:44 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,878,"$50,000 through $74,999",Married,878,News story,White/European origin,United States,PRE
1954,"Fri, 16 Sep 2016 11:26:31 -0500",Some Graduate School,Retired,Not Hispanic or Latino,Female,667,"$200,000 through $249,999",Married,667,Facebook post,White/European origin,United States,PRE
1954,"Fri, 16 Sep 2016 11:31:52 -0500",M.D.,Working part-time,Not Hispanic or Latino,Female,670,Prefer not to answer,Married,670,News story,White/European origin,United States,PRE
1955,"Tue, 27 Feb 2018 12:57:51 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Male,1566,"$150,000 through $199,999",Married,1566,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
