"cntrl_tx","date","describe","distracted","ease","helpful","id","ideal","interest","internet","like","look","mood","otherDesc","other_therapy","participantRSA","privacy","qol","recommend","session","similar_program","tiring_training","training_ease","trust","understand","where_commuting","where_home","where_no_anser","where_other_selected","where_public","where_vacation","where_work"
"control","Mon, 23 Apr 2018 10:00:46 -0500","shorter",3,3,1,1481,6,1,2,1,4,1,NA,3,"1481",1,1,1,"POST",4,2,3,3,3,"False","False","False","False","False","False","False"
"control","Sun, 05 Aug 2018 17:14:23 -0500","more often, more sessions?",5,4,3,1675,12,3,1,3,3,2,NA,5,"1675",1,2,4,"POST",3,2,4,3,4,"False","False","False","False","False","False","False"
"control","Sat, 06 Aug 2016 08:19:15 -0500","Good amount",4,3,1,11,8,3,4,2,3,2,NA,3,"11",1,2,1,"COMPLETE",2,2,5,4,5,"False","False","False","False","False","False","False"
"active_training","Fri, 14 Dec 2018 18:49:01 -0500","4 sessions in one month and return in two month for final session makes more sense. ",5,5,1,1687,5,3,1,3,3,1,NA,3,"1687",3,1,2,"POST",2,3,5,3,4,"False","False","False","False","False","False","False"
"control","Fri, 21 Dec 2018 15:19:07 -0500","I feel like I could have used some more.",4,5,2,1806,10,3,1,3,4,2,NA,3,"1806",1,2,2,"POST",2,3,5,4,5,"False","False","False","False","False","False","False"
"active_training","Tue, 07 Feb 2017 15:24:21 -0500","It covers a 2 month period.",6,5,3,798,8,2,1,3,2,3,NA,4,"798",3,3,5,"POST",4,1,5,4,5,"False","False","False","False","False","False","False"
"control","Wed, 08 Feb 2017 08:46:27 -0500","I felt there could have been more closer together, plus more consistent reminders can help with anxiety",5,5,2,993,10,3,1,3,4,1,NA,1,"993",1,1,2,"POST",3,1,5,5,5,"False","False","False","False","False","False","False"
"control","Wed, 08 Feb 2017 15:18:47 -0500","not overwhelming, though perhaps not enough or not helpful. I was not helped.",5,4,1,683,0,3,1,2,4,1,NA,5,"683",1,1,2,"POST",2,1,4,3,4,"False","False","False","False","False","False","False"
"control","Mon, 13 Feb 2017 16:53:53 -0500","It was a nice, enjoyable length. If it felt more helpful I would have probably wanted more sessions.",6,5,1,988,8,4,2,4,4,2,NA,3,"988",1,1,2,"POST",2,2,5,4,4,"False","False","False","False","False","False","False"
"active_training","Sat, 14 Jan 2017 15:49:49 -0500","I dont know?",5,4,2,541,8,3,1,3,4,2,NA,3,"541",1,2,2,"POST",3,1,5,4,4,"False","False","False","False","False","False","False"
