"date","id","notReturnReason","participantRSA","returnIntention","session"
"Sun, 01 Apr 2018 07:26:55 -0500",1603,"",1603,2,"SESSION7"
"Sun, 01 Apr 2018 16:52:14 -0500",1574,"",1574,3,"SESSION7"
"Tue, 03 Apr 2018 19:57:13 -0500",1601,"",1601,2,"SESSION4"
"Tue, 03 Apr 2018 20:51:23 -0500",1620,"",1620,2,"SESSION2"
"Wed, 04 Apr 2018 13:37:50 -0500",1574,"",1574,2,"SESSION8"
"Thu, 05 Apr 2018 15:37:45 -0500",1627,"",1627,2,"SESSION1"
"Fri, 06 Apr 2018 00:03:03 -0500",1401,"",1401,2,"SESSION8"
"Fri, 06 Apr 2018 14:30:14 -0500",1620,"",1620,2,"SESSION3"
"Mon, 09 Apr 2018 14:37:31 -0500",1620,"",1620,2,"SESSION4"
"Tue, 10 Apr 2018 13:21:04 -0500",1633,"",1633,2,"SESSION1"
"Tue, 10 Apr 2018 18:37:17 -0500",1601,"",1601,2,"SESSION5"
"Thu, 12 Apr 2018 12:55:18 -0500",1620,"",1620,2,"SESSION5"
"Thu, 12 Apr 2018 14:32:27 -0500",1639,"",1639,2,"SESSION1"
"Sat, 14 Apr 2018 00:20:00 -0500",1642,"",1642,2,"SESSION1"
"Tue, 17 Apr 2018 18:25:55 -0500",1646,"",1646,2,"SESSION1"
"Tue, 17 Apr 2018 22:35:50 -0500",1620,"",1620,2,"SESSION6"
"Thu, 19 Apr 2018 22:48:33 -0500",1651,"",1651,2,"SESSION1"
"Fri, 20 Apr 2018 14:01:33 -0500",1530,"",1530,2,"SESSION4"
"Fri, 20 Apr 2018 16:20:31 -0500",1601,"",1601,2,"SESSION6"
"Mon, 23 Apr 2018 05:55:23 -0500",1654,"",1654,1,"SESSION1"
"Mon, 23 Apr 2018 14:33:31 -0500",1620,"",1620,2,"SESSION7"
"Mon, 23 Apr 2018 17:23:07 -0500",1657,"",1657,2,"SESSION1"
"Mon, 23 Apr 2018 22:14:52 -0500",1646,"",1646,2,"SESSION2"
"Tue, 24 Apr 2018 23:07:01 -0500",1658,"I am super sorry, it was just super boring",1658,5,"SESSION1"
"Wed, 25 Apr 2018 23:52:40 -0500",1620,"",1620,2,"SESSION8"
"Thu, 26 Apr 2018 06:03:52 -0500",1654,"",1654,2,"SESSION2"
"Fri, 27 Apr 2018 02:14:15 -0500",1660,"",1660,2,"SESSION1"
"Sat, 28 Apr 2018 06:17:11 -0500",1654,"",1654,2,"SESSION3"
"Mon, 30 Apr 2018 15:00:19 -0500",1662,"",1662,2,"SESSION1"
"Mon, 30 Apr 2018 18:13:47 -0500",1654,"",1654,2,"SESSION4"
"Wed, 01 Aug 2018 21:01:26 -0500",1730,"",1730,2,"SESSION4"
"Fri, 03 Aug 2018 01:49:10 -0500",1737,"",1737,2,"SESSION2"
"Mon, 06 Aug 2018 10:09:49 -0500",1732,"",1732,2,"SESSION4"
"Tue, 07 Aug 2018 21:23:23 -0500",1730,"",1730,2,"SESSION5"
"Wed, 08 Aug 2018 16:25:46 -0500",1290,"",1290,1,"SESSION7"
"Thu, 09 Aug 2018 00:43:24 -0500",1737,"",1737,2,"SESSION4"
"Thu, 09 Aug 2018 08:47:55 -0500",1721,"",1721,2,"SESSION5"
"Sat, 11 Aug 2018 12:10:53 -0500",1751,"",1751,2,"SESSION1"
"Sat, 11 Aug 2018 15:24:06 -0500",1737,"",1737,2,"SESSION5"
"Sat, 11 Aug 2018 15:25:08 -0500",1290,"",1290,2,"SESSION8"
"Sun, 12 Aug 2018 07:25:07 -0500",1697,"",1697,1,"SESSION1"
"Sun, 12 Aug 2018 22:22:06 -0500",1721,"",1721,2,"SESSION6"
"Sun, 12 Aug 2018 22:35:08 -0500",1748,"",1748,2,"SESSION1"
"Mon, 13 Aug 2018 11:01:01 -0500",1697,"",1697,1,"SESSION2"
"Tue, 14 Aug 2018 14:53:20 -0500",1751,"",1751,2,"SESSION2"
"Thu, 16 Aug 2018 10:38:54 -0500",1697,"",1697,2,"SESSION3"
"Fri, 17 Aug 2018 12:00:59 -0500",1758,"",1758,2,"SESSION1"
"Mon, 20 Aug 2018 01:36:08 -0500",1737,"",1737,2,"SESSION7"
"Mon, 20 Aug 2018 07:21:49 -0500",1697,"",1697,2,"SESSION4"
"Mon, 20 Aug 2018 15:47:15 -0500",1754,"",1754,2,"SESSION1"
"Mon, 20 Aug 2018 19:21:18 -0500",1758,"",1758,2,"SESSION2"
"Mon, 20 Aug 2018 19:24:01 -0500",1759,"",1759,2,"SESSION1"
"Tue, 21 Aug 2018 13:45:08 -0500",1761,"",1761,2,"SESSION1"
"Thu, 23 Aug 2018 15:48:11 -0500",1754,"",1754,2,"SESSION2"
"Thu, 23 Aug 2018 15:53:07 -0500",1766,"",1766,1,"SESSION1"
"Thu, 23 Aug 2018 21:31:05 -0500",1765,"",1765,2,"SESSION1"
"Sun, 26 Aug 2018 21:11:43 -0500",1770,"",1770,2,"SESSION1"
"Mon, 27 Aug 2018 13:49:44 -0500",1771,"",1771,2,"SESSION1"
"Mon, 27 Aug 2018 14:39:36 -0500",1754,"",1754,2,"SESSION3"
"Mon, 27 Aug 2018 16:25:18 -0500",1766,"",1766,1,"SESSION2"
"Tue, 28 Aug 2018 04:05:20 -0500",1772,"",1772,2,"SESSION1"
"Wed, 29 Aug 2018 09:22:41 -0500",1777,"",1777,2,"SESSION1"
"Wed, 29 Aug 2018 16:47:44 -0500",1754,"",1754,2,"SESSION4"
"Wed, 29 Aug 2018 22:33:40 -0500",1761,"",1761,2,"SESSION2"
"Thu, 30 Aug 2018 02:22:45 -0500",1772,"",1772,2,"SESSION2"
"Thu, 30 Aug 2018 12:34:09 -0500",1782,"",1782,2,"SESSION1"
"Fri, 31 Aug 2018 19:37:46 -0500",1792,"",1792,2,"SESSION1"
"Fri, 31 Aug 2018 21:24:05 -0500",1799,"",1799,2,"SESSION1"
"Sun, 02 Dec 2018 17:37:40 -0500",1923,"",1923,2,"SESSION2"
"Sun, 02 Dec 2018 23:11:04 -0500",1933,"",1933,2,"SESSION2"
"Wed, 05 Dec 2018 03:15:15 -0500",1938,"",1938,2,"SESSION1"
"Wed, 05 Dec 2018 15:16:37 -0500",1932,"",1932,2,"SESSION3"
"Sat, 08 Dec 2018 15:52:04 -0500",1942,"",1942,2,"SESSION1"
"Tue, 11 Dec 2018 14:19:55 -0500",1947,"",1947,2,"SESSION1"
"Wed, 12 Dec 2018 12:12:08 -0500",1932,"",1932,2,"SESSION4"
"Fri, 14 Dec 2018 15:39:06 -0500",1932,"",1932,2,"SESSION5"
"Sun, 16 Dec 2018 21:00:13 -0500",1950,"",1950,2,"SESSION1"
"Mon, 17 Dec 2018 15:46:11 -0500",1932,"",1932,2,"SESSION6"
"Mon, 17 Dec 2018 21:38:36 -0500",1946,"",1946,2,"SESSION2"
"Wed, 19 Dec 2018 10:15:57 -0500",1950,"",1950,2,"SESSION2"
"Thu, 20 Dec 2018 13:38:39 -0500",1932,"",1932,2,"SESSION7"
"Sat, 22 Dec 2018 13:47:24 -0500",1946,"",1946,2,"SESSION3"
"Tue, 25 Dec 2018 22:04:35 -0500",1951,"",1951,2,"SESSION1"
"Sat, 29 Dec 2018 15:57:08 -0500",1956,"",1956,2,"SESSION1"
"Fri, 02 Feb 2018 17:10:56 -0500",1497,"",1497,2,"SESSION5"
"Sat, 03 Feb 2018 01:56:21 -0500",1513,"",1513,2,"SESSION1"
"Sun, 04 Feb 2018 10:40:37 -0500",1509,"",1509,2,"SESSION1"
"Sun, 04 Feb 2018 14:51:56 -0500",1516,"",1516,2,"SESSION1"
"Mon, 05 Feb 2018 00:51:20 -0500",1519,"",1519,2,"SESSION1"
"Mon, 05 Feb 2018 12:53:10 -0500",1518,"",1518,2,"SESSION1"
"Mon, 05 Feb 2018 13:10:09 -0500",1480,"",1480,2,"SESSION4"
"Mon, 05 Feb 2018 18:11:08 -0500",1497,"",1497,2,"SESSION6"
"Tue, 06 Feb 2018 10:12:07 -0500",1526,"",1526,1,"SESSION1"
"Tue, 06 Feb 2018 10:33:42 -0500",1525,"",1525,2,"SESSION1"
"Tue, 06 Feb 2018 14:32:46 -0500",1527,"",1527,2,"SESSION1"
"Tue, 06 Feb 2018 16:43:48 -0500",1524,"",1524,2,"SESSION1"
"Wed, 07 Feb 2018 11:55:20 -0500",1465,"",1465,2,"SESSION7"
"Wed, 07 Feb 2018 12:14:37 -0500",1497,"",1497,2,"SESSION7"
"Wed, 07 Feb 2018 18:37:41 -0500",1524,"",1524,2,"SESSION2"
"Thu, 08 Feb 2018 01:36:01 -0500",1401,"",1401,2,"SESSION7"
"Thu, 08 Feb 2018 08:41:32 -0500",1509,"",1509,2,"SESSION2"
"Thu, 08 Feb 2018 08:58:13 -0500",1525,"",1525,2,"SESSION2"
"Thu, 08 Feb 2018 11:06:50 -0500",1526,"",1526,2,"SESSION2"
"Thu, 08 Feb 2018 13:45:56 -0500",1530,"",1530,2,"SESSION1"
"Thu, 08 Feb 2018 15:05:03 -0500",1518,"",1518,2,"SESSION2"
"Thu, 08 Feb 2018 16:15:58 -0500",1533,"",1533,2,"SESSION1"
"Fri, 09 Feb 2018 11:53:56 -0500",1497,"",1497,2,"SESSION8"
"Fri, 09 Feb 2018 15:14:04 -0500",1524,"",1524,2,"SESSION3"
"Sat, 10 Feb 2018 07:09:51 -0500",1537,"",1537,2,"SESSION1"
"Sat, 10 Feb 2018 09:02:03 -0500",1509,"",1509,2,"SESSION3"
"Sun, 11 Feb 2018 09:41:47 -0500",1539,"",1539,3,"SESSION1"
"Mon, 12 Feb 2018 08:14:51 -0500",1530,"",1530,2,"SESSION2"
"Mon, 12 Feb 2018 08:54:05 -0500",1526,"",1526,2,"SESSION3"
"Mon, 12 Feb 2018 12:02:18 -0500",1465,"",1465,2,"SESSION8"
"Tue, 13 Feb 2018 13:23:19 -0500",1509,"",1509,2,"SESSION4"
"Tue, 13 Feb 2018 16:06:29 -0500",1524,"",1524,2,"SESSION4"
"Tue, 13 Feb 2018 19:37:44 -0500",1518,"",1518,2,"SESSION3"
"Thu, 15 Feb 2018 06:00:37 -0500",1526,"",1526,2,"SESSION4"
"Thu, 15 Feb 2018 18:39:04 -0500",1480,"",1480,2,"SESSION5"
"Fri, 16 Feb 2018 07:29:11 -0500",1524,"",1524,2,"SESSION5"
"Fri, 16 Feb 2018 10:29:33 -0500",1509,"",1509,2,"SESSION5"
"Fri, 16 Feb 2018 21:53:00 -0500",1545,"",1545,2,"SESSION1"
"Sun, 18 Feb 2018 12:30:21 -0500",1509,"",1509,2,"SESSION6"
"Sun, 18 Feb 2018 16:15:41 -0500",1524,"",1524,2,"SESSION6"
"Mon, 19 Feb 2018 14:12:46 -0500",1526,"",1526,2,"SESSION5"
"Mon, 19 Feb 2018 16:11:29 -0500",1480,"",1480,2,"SESSION6"
"Wed, 21 Feb 2018 07:05:51 -0500",1551,"",1551,2,"SESSION1"
"Wed, 21 Feb 2018 14:48:57 -0500",1526,"",1526,2,"SESSION6"
"Wed, 21 Feb 2018 16:53:17 -0500",1290,"",1290,2,"SESSION6"
"Wed, 21 Feb 2018 22:41:29 -0500",1545,"",1545,2,"SESSION2"
"Thu, 22 Feb 2018 13:19:16 -0500",1525,"",1525,2,"SESSION3"
"Thu, 22 Feb 2018 14:40:51 -0500",1524,"",1524,2,"SESSION7"
"Fri, 23 Feb 2018 04:52:47 -0500",1476,"",1476,2,"SESSION4"
"Fri, 23 Feb 2018 10:36:02 -0500",1509,"",1509,2,"SESSION7"
"Fri, 23 Feb 2018 14:13:56 -0500",1557,"",1557,2,"SESSION1"
"Sun, 25 Feb 2018 09:34:31 -0500",1526,"",1526,2,"SESSION7"
"Sun, 25 Feb 2018 09:41:18 -0500",1509,"",1509,2,"SESSION8"
"Mon, 26 Feb 2018 16:10:38 -0500",1480,"",1480,2,"SESSION7"
"Tue, 27 Feb 2018 01:07:07 -0500",1557,"",1557,2,"SESSION2"
"Tue, 27 Feb 2018 11:01:04 -0500",1564,"",1564,2,"SESSION1"
"Tue, 27 Feb 2018 11:42:59 -0500",1476,"",1476,2,"SESSION5"
"Tue, 27 Feb 2018 16:25:30 -0500",1552,"",1552,3,"SESSION1"
"Wed, 28 Feb 2018 12:24:19 -0500",1524,"",1524,2,"SESSION8"
"Tue, 01 Jan 2019 19:37:19 -0500",1273,"",1273,1,"SESSION3"
"Thu, 03 Jan 2019 22:06:38 -0500",1942,"",1942,3,"SESSION3"
"Sat, 05 Jan 2019 13:59:07 -0500",1932,"",1932,2,"SESSION8"
"Wed, 16 Jan 2019 04:07:57 -0500",1965,"",1965,2,"SESSION1"
"Thu, 18 Jan 2018 23:29:45 -0500",1458,"",1458,2,"SESSION7"
"Fri, 18 Jan 2019 22:00:57 -0500",1969,"",1969,2,"SESSION1"
"Fri, 19 Jan 2018 12:08:36 -0500",1483,"",1483,2,"SESSION1"
"Sun, 21 Jan 2018 07:55:56 -0500",1465,"",1465,2,"SESSION5"
"Tue, 23 Jan 2018 01:17:27 -0500",1458,"",1458,2,"SESSION8"
"Tue, 23 Jan 2018 14:26:40 -0500",1465,"",1465,2,"SESSION6"
"Tue, 23 Jan 2018 17:38:29 -0500",1483,"",1483,2,"SESSION2"
"Wed, 24 Jan 2018 15:44:39 -0500",1497,"",1497,2,"SESSION1"
"Fri, 26 Jan 2018 04:04:08 -0500",1501,"",1501,2,"SESSION1"
"Fri, 26 Jan 2018 09:17:10 -0500",1502,"",1502,2,"SESSION1"
"Fri, 26 Jan 2018 12:39:33 -0500",1497,"",1497,2,"SESSION2"
"Mon, 29 Jan 2018 10:29:34 -0500",1497,"",1497,2,"SESSION3"
"Mon, 29 Jan 2018 11:54:27 -0500",1480,"",1480,2,"SESSION2"
"Wed, 31 Jan 2018 11:37:32 -0500",1480,"",1480,2,"SESSION3"
"Wed, 31 Jan 2018 15:27:03 -0500",1497,"",1497,2,"SESSION4"
